kepid,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
10464078,,FALSE POSITIVE,19.40393776,0.804,12.2155,8918.7,0.096729,7.18,320.90817,214.7,71,0.048,0,0.03785,0.123,49.468765,
10485250,,FALSE POSITIVE,16.46983774,0.292,9.4378,10478.9,0.092509,7.94,258.8247,303.4,66,0.0,0,0.19353,0.1147,43.1625,
10526549,Kepler-660 b,CONFIRMED,9.27358173,0.387,3.2875,1288.3,0.032563,2.47,71.48005,87.2,144,0.037,0,1.93557,0.0759,9.616924,
10583066,Kepler-661 b,CONFIRMED,6.02930329,0.258,1.5821,1912.7,0.038838,2.85,52.36939,65.4,215,0.77,0,13.09803,0.0585,6.876831,
10601284,Kepler-226 c,CONFIRMED,5.349553819,0.092,3.0278,831,0.025706,2.55,48.504196,60.6,247,0.002,0,1.73782,0.0563,6.0370364,
10601284,Kepler-226 b,CONFIRMED,3.94105221,0.226,2.5984,363.3,0.017105,1.7,22.749151,28.9,322,0.464,0,1.85636,0.046,4.5118856,
10601284,Kepler-226 d,CONFIRMED,8.10904807,0.025,3.596,217.4,0.013127,1.3,9.776852,14.1,141,0.013,0,1.5302,0.0743,4.434382,
2306756,,FALSE POSITIVE,386.6030528,0.9765,6.8057,24926.6,0.240528,41.5,,994.0,,0.002,0,4.63335,1.0719,,
10662202,Kepler-662 b,CONFIRMED,21.67699193,0.896,3.4555,857.2,0.032666,2.95,24.54073,34.3,62,0.103,0,0.60007,0.1408,5.911944,
10662202,,CANDIDATE,5.04413987,0.727,1.623,172,0.012998,1.18,8.172602,10.2,262,0.619,0,3.51473,0.0533,3.369117,
10662202,,CANDIDATE,14.516741,0.851,2.706,227.2,0.016064,1.45,7.5396094,10.1,86,0.067,0,1.06322,0.1078,2.8263357,
10662202,,FALSE POSITIVE,36.5521313,0.4969,2.481,282.9,0.015667,0.9,,7.7,,0.0,0,14.02573,0.1751,,
11460018,Kepler-671 b,CONFIRMED,4.280963604,0.424,2.875,750.8,0.025377,2.3,52.913242,61.8,311,0.0,0,1.24482,0.0503,6.7006826,
11463211,,FALSE POSITIVE,1.50635409,0.86,1.5155,2211.7,0.049899,4.53,130.6654,181.1,882,0.0,0,0.84722,0.025,9.787732,
11465813,,FALSE POSITIVE,670.645531,0.701,53.412,18090.6,0.131705,14.14,96.96236,642.7,3,0.0,0,0.02605,1.5155,70.64302,
11493732,,FALSE POSITIVE,61.2563628,1.248,7.633,5123.3,0.334628,39.87,73.10389,85.3,13,0.156,0,0.12411,0.3137,31.079844,
10987985,Kepler-665 b,CONFIRMED,16.01308419,0.799,3.2554,1121.9,0.034369,3.1,31.066507,33.2,65,0.167,0,1.10942,0.1148,8.468995,
11018648,Kepler-230 b,CONFIRMED,32.62876672,0.021,4.7971,1804.8,0.03852,3.36,61.372303,80.0,34,0.047,0,2.79093,0.1889,14.0889,
11018648,Kepler-230 c,CONFIRMED,91.7732862,0.606,6.473,652,0.02432,2.12,14.678595,19.1,11,0.599,0,1.60558,0.3764,6.9461374,
11152159,,FALSE POSITIVE,2.701287801,1.016,3.3827,860.4,0.06584,6.54,39.745068,48.3,387,0.0,0,0.02818,0.0365,5.044661,
11153539,Kepler-666 b,CONFIRMED,4.49876511,0.312,3.7362,460,0.019817,2.1,26.501581,29.5,238,0.281,0,0.67106,0.0542,4.435833,
11242721,,FALSE POSITIVE,19.651209505,0.723,5.2514,11766.3,0.106953,12.42,509.4985,513.4,59,0.518,0,0.67559,0.1433,85.46643,
9579641,Kepler-105 b,CONFIRMED,5.412203927,0.787,2.9472,601.6,0.024775,2.94,163.47614,166.7,244,0.0,0,0.51087,0.0591,46.475086,
9579641,Kepler-105 c,CONFIRMED,7.12594387,0.898,3.0014,192.4,0.01512,1.79,39.793564,47.1,181,0.009,0,0.23879,0.0711,6.1814723,
9579641,,CANDIDATE,3.43591631,0.624,3.133,23.2,0.004612,0.55,7.4337807,8.7,357,0.858,0,0.47024,0.0437,3.8943021,
11304958,Kepler-667 b,CONFIRMED,41.43958662,0.355,10.5989,2793.1,0.048175,5.5,124.52492,141.1,33,0.043,0,0.28189,0.2288,27.788597,
11391957,Kepler-668 b,CONFIRMED,8.35389523,0.023,2.2514,1041.6,0.029305,2.52,36.34974,43.4,127,0.645,0,6.73215,0.0768,5.6967807,
11403044,Kepler-669 b,CONFIRMED,4.125543472,0.597,3.1744,1487.3,0.036796,4.43,94.70979,128.6,323,0.431,0,0.67162,0.0529,9.387555,
11414511,Kepler-670 b,CONFIRMED,2.816504904,0.105,2.50587,16813.7,0.117059,12.21,1328.3038,1406.8,474,0.0,0,2.09079,0.0383,104.64681,
11442465,,FALSE POSITIVE,33.93373447,0.812,14.561,8503.7,0.095386,7.34,193.4089,236.1,31,0.0,0,0.0371,0.1881,52.86124,
12110942,Kepler-680 b,CONFIRMED,3.689920099,0.151,2.6557,426.7,0.018878,1.89,31.786789,35.6,360,0.255,0,1.70798,0.0469,4.8750124,
12366084,Kepler-232 b,CONFIRMED,4.431238488,0.405,3.15,1010.9,0.02933,3.25,58.259056,71.1,302,0.016,0,1.01996,0.0529,6.815371,
12366084,Kepler-232 c,CONFIRMED,11.37936986,0.911,2.6255,1023.5,0.035628,3.95,29.930164,37.9,109,0.372,0,0.63438,0.0993,5.2506146,
12366084,,CANDIDATE,0.589376952,0.491,1.71,80.7,0.008399,0.93,8.367247,11.4,2040,0.033,0,0.7778,0.0138,4.3937545,
12404086,Kepler-681 b,CONFIRMED,26.39432897,0.602,3.573,1510.9,0.03681,3.07,41.269753,48.2,51,0.592,0,2.93923,0.1635,8.917681,
8395660,Kepler-106 c,CONFIRMED,13.57078281,0.866,3.3539,511.7,0.023908,2.64,76.76887,88.4,101,0.044,0,0.49865,0.1096,18.771214,
8395660,Kepler-106 e,CONFIRMED,43.84439721,0.852,6.802,615.2,0.025934,2.87,65.59482,83.7,29,0.012,0,0.22039,0.2395,16.554466,
8395660,Kepler-106 d,CONFIRMED,23.9800854,0.95,5.351,104,0.011879,1.31,10.87813,17.1,56,0.096,0,0.05654,0.1602,4.1784496,
8395660,Kepler-106 b,CONFIRMED,6.164876,0.646,3.262,55.8,0.007192,0.79,11.552998,14.4,207,0.567,0,0.69664,0.0648,2.6950479,
11656840,,FALSE POSITIVE,7.442652004,0.137,2.3078,24446.2,0.143936,15.03,1044.7283,835.6,180,0.0,0,7.48712,0.0742,115.64278,
11754553,Kepler-52 c,CONFIRMED,16.38489988,0.001,3.0249,1127.1,0.029758,2,28.122635,28.9,65,0.204,0,5.4538,0.1084,6.419572,
11754553,Kepler-52 b,CONFIRMED,7.8774163,0.041,2.0805,1306.1,0.03209,2.16,41.450657,38.7,135,0.588,0,8.09685,0.0665,10.036489,
11754553,Kepler-52 d,CONFIRMED,36.4454001,0.028,4.007,1122.3,0.029681,1.99,19.803268,21.7,27,0.01,0,5.21237,0.1847,5.9903665,
11818800,,CANDIDATE,40.4195037,0.911,3.362,6256,0.088069,7.51,94.071846,36.9,36,0.027,0,1.89549,0.2062,22.598503,
11853255,Kepler-674 b,CONFIRMED,2.243380573,0.915,1.1196,821.7,0.032248,1.99,30.578562,38.9,472,0.0,0,1.50915,0.028,4.251499,
11918099,Kepler-675 b,CONFIRMED,2.337437946,0.28,1.9982,971.2,0.027998,2.34,63.58795,82.4,578,0.0,0,2.41093,0.0325,6.0310416,
11918099,,CANDIDATE,7.2406612,1.198,0.558,556.4,0.232818,19.45,9.1666,13.7,168,0.058,0,8.66412,0.0692,3.2751372,
11923270,Kepler-676 b,CONFIRMED,11.59822233,0.679,2.5237,2804.5,0.051287,2.65,62.376225,71.0,115,0.178,0,3.14915,0.0798,11.461336,
11960862,Kepler-677 b,CONFIRMED,6.575315881,0.39,4.3084,2793.3,0.049152,5.31,210.22159,221.1,205,0.013,0,0.64392,0.067,20.537346,
12020329,Kepler-678 b,CONFIRMED,7.275040844,0.547,7.5377,3001,0.051358,4.86,234.95987,312.1,188,0.0,0,0.10578,0.0732,24.639503,
12066335,Kepler-231 c,CONFIRMED,19.27153892,0.031,2.7594,1219.8,0.031585,1.93,28.490973,37.1,67,0.0,0,8.48241,0.1171,6.437265,
12066335,Kepler-231 b,CONFIRMED,10.06524317,0.628,1.369,1053.3,0.031153,1.91,21.658537,30.3,126,0.0,0,18.09666,0.076,5.446764,
12070811,Kepler-679 b,CONFIRMED,12.3935651,0.883,3.8896,916.6,0.032536,2.66,31.608551,35.8,107,0.758,0,0.27483,0.0983,5.6057496,
3120431,,FALSE POSITIVE,3.341913228,1.213,3.813,725.3,0.243351,21.55,32.72262,39.0,780,0.0,0,0.01791,0.0415,5.0937037,
3246984,,FALSE POSITIVE,1.626630225,1.26,2.1145,1620.6,0.305244,32.43,45.885685,103.6,664,0.0,0,0.09631,0.026,5.3061833,
3342970,Kepler-234 b,CONFIRMED,2.711504086,0.023,3.0099,837.5,0.026533,3.12,48.726124,64.5,494,0.0,0,0.91618,0.0401,6.3430967,
3342970,Kepler-234 c,CONFIRMED,7.21203748,0.012,4.0491,950.4,0.028255,3.32,40.04205,51.5,165,0.0,0,0.99867,0.077,6.1683164,
12470844,Kepler-233 b,CONFIRMED,8.47237911,0.022,2.7245,1123.5,0.030119,2.59,39.867977,47.6,159,0.046,0,3.86328,0.0778,5.7419868,
12470844,Kepler-233 c,CONFIRMED,60.4189369,0.094,5.039,931.3,0.027422,2.36,15.139797,20.1,22,0.424,0,4.26444,0.2884,6.335456,
12644822,Kepler-682 b,CONFIRMED,12.611904345,0.55,5.1497,6105.6,0.073758,7.4,207.6196,277.2,104,0.0,0,0.61222,0.1058,31.536423,
2440757,,FALSE POSITIVE,1.433769925,1.268,1.8868,1976.3,0.318591,46.58,67.78838,112.6,481,0.021,0,0.1372,0.0256,10.709492,
2445129,,FALSE POSITIVE,10.31872301,1.215,3.836,871.7,0.247006,28.59,34.775192,38.2,130,0.0,0,0.03681,0.0944,9.854863,
2713049,Kepler-683 b,CONFIRMED,2.539183147,0.238,2.4282,382.1,0.017724,2.06,34.037075,38.9,528,0.085,0,1.46261,0.0355,4.680462,
3114661,,FALSE POSITIVE,0.444291966,1.258,2.0792,10967.4,0.396105,27.51,277.1132,299.7,1466,0.0,0,0.42351,0.0101,40.64358,
4139816,Kepler-235 d,CONFIRMED,20.06036336,0.556,3.3203,1494.7,0.036455,1.96,27.241827,35.2,59,0.016,0,3.09445,0.115,7.1802754,
4139816,Kepler-235 e,CONFIRMED,46.1842039,0.013,4.758,1394.7,0.033974,1.83,18.020908,26.0,25,0.006,0,3.99779,0.2005,6.2605453,
4139816,Kepler-235 c,CONFIRMED,7.82502168,0.708,2.186,520.8,0.022312,1.2,12.582854,15.9,154,0.048,0,2.54508,0.0614,3.8379083,
4139816,Kepler-235 b,CONFIRMED,3.340218842,0.466,1.9104,1632.6,0.037683,2.03,58.181076,71.6,398,0.058,0,3.23586,0.0348,8.777286,
4275191,Kepler-688 b,CONFIRMED,3.895936525,0.524,2.3111,8544.8,0.08689,7.34,375.5263,370.8,275,0.0,0,2.31292,0.046,35.58241,
4476123,Kepler-689 b,CONFIRMED,22.36646466,0.4,5.228,986.8,0.028938,2.32,25.599396,32.1,48,0.799,0,1.12517,0.1449,6.2514634,
3351888,Kepler-685 b,CONFIRMED,1.625522174,0.076,2.38963,7969,0.080543,9.73,712.5235,799.7,657,0.0,0,1.28198,0.0265,43.135384,
3453214,,CANDIDATE,19.620346923,0.458,2.0038,21724.6,0.137595,13.6,353.8584,340.5,52,0.0,0,23.21659,0.1389,73.60154,
3554600,,FALSE POSITIVE,7.544039,1.175,6.222,322.6,0.194187,17.47,12.162734,14.2,143,,0,0.00393,0.0731,4.5001316,
3641726,Kepler-1727 b,CONFIRMED,9.02930689,0.024,3.1449,1019.8,0.028718,2.57,47.37303,53.9,146,0.097,0,2.66613,0.0796,7.610865,
3734868,,FALSE POSITIVE,10.328035714,0.281,7.7915,16917.7,0.118805,13.28,589.42316,636.8,114,0.0,0,0.23528,0.0888,76.945915,
3832474,Kepler-30 d,CONFIRMED,143.2063047,0.379,8.9302,10565.7,0.094044,8.9,115.57215,138.8,9,0.081,0,1.83449,0.5336,45.13809,
3832474,Kepler-30 c,CONFIRMED,60.32494216,0.224,6.6188,20280.4,0.128744,12.19,323.38303,347.2,22,0.051,0,2.37656,0.2998,88.82677,
3832474,Kepler-30 b,CONFIRMED,29.1598615,0.3619,4.803,488,0.02018,1.91,,11.6,,,0,1.92739,0.1847,,
3832474,,FALSE POSITIVE,381.850599,0.4148,4.772,1702,0.037911,3.59,,13.8,,,0,25.52691,1.026,,
3832474,,FALSE POSITIVE,412.041857,0.1068,5.572,1959,0.039819,3.77,,12.3,,,0,22.22335,1.0794,,
3838486,,FALSE POSITIVE,2.99025443,0.014,5.414,589.2,0.021279,1.7,35.481506,48.5,454,0.0,0,0.17407,0.0367,4.439786,
3935914,Kepler-686 b,CONFIRMED,1.594745374,0.514,1.9604,15044.5,0.115879,11.3,1015.921,1009.3,762,0.0,0,1.77544,0.0258,62.03516,
4049131,Kepler-687 b,CONFIRMED,20.50588921,0.26,4.0595,2105.5,0.041039,3.41,70.729904,78.5,69,0.722,0,2.64998,0.1326,12.827003,
5287983,,FALSE POSITIVE,2.507089906,1.255,2.0067,1339.2,0.295115,30.26,50.679256,64.9,408,0.0,0,0.11003,0.0365,7.337525,
5358241,Kepler-53 b,CONFIRMED,18.64932728,0.08,4.4056,893.6,0.027096,3.12,36.000114,46.1,71,0.0,0,1.97596,0.139,7.871079,
5358241,Kepler-53 d,CONFIRMED,9.75192101,0.949,4.793,418,0.024042,2.76,24.258644,28.5,132,0.482,0,0.044,0.0902,4.4869766,
5358241,Kepler-53 c,CONFIRMED,38.5576546,0.911,5.794,993,0.03498,4.02,32.640865,39.7,37,0.0,0,0.19756,0.2255,7.5526104,
5358624,Kepler-428 b,CONFIRMED,3.525632539,0.12,2.59959,22335,0.13372,11.58,2078.4102,1996.7,382,0.0,0,2.43681,0.0431,162.61552,
4544670,,CANDIDATE,34.84398644,0.934,2.9315,4523.6,0.080046,7.61,75.6448,76.8,40,0.13,0,1.86832,0.1971,15.928789,
4664847,Kepler-690 b,CONFIRMED,7.748094239,0.517,3.5957,2472.1,0.046615,5.52,106.29421,113.2,133,0.097,0,1.06292,0.081,13.618479,
4725681,Kepler-236 c,CONFIRMED,23.96793669,0.416,3.827,1182.3,0.03141,1.8,22.27284,27.5,43,0.01,0,3.03325,0.1322,5.809559,
4725681,Kepler-236 b,CONFIRMED,8.29561738,0.888,1.3421,824.3,0.03178,1.82,15.260293,17.9,119,0.029,0,4.18931,0.0652,3.484774,
4913852,Kepler-691 b,CONFIRMED,8.11437482,0.573,2.2736,1558,0.037204,2.1,45.585175,56.4,167,0.024,0,3.76716,0.0649,6.7459397,
4932348,,FALSE POSITIVE,38.036729482,0.501,4.34617,82871.6,0.27018,27.5,1785.2972,1300.0,26,0.0,0,6.21385,0.2252,456.11786,
4936180,,CANDIDATE,4.64090031,1.28,35.512,2450.6,0.333559,30.09,135.01852,296.9,227,0.029,0,0.00218,0.0503,14.098484,
11913073,,FALSE POSITIVE,3.747838198,1.121,5.0642,616,0.151387,13.65,98.60031,138.2,358,0.0,0,0.00878,0.046,14.434505,
5021899,Kepler-692 b,CONFIRMED,21.81295996,0.053,4.3791,1175.4,0.030952,3.38,31.21894,37.8,45,0.448,0,2.39175,0.1495,6.4162097,
5077629,,FALSE POSITIVE,7.91936937,0.733,3.3148,15148.1,0.121984,10.34,385.42834,389.0,132,0.0,0,1.13074,0.0737,47.533234,
5164255,Kepler-693 b,CONFIRMED,15.37562369,0.692,3.3169,15337,0.12103,11.01,170.02856,166.0,50,0.006,0,2.43887,0.1121,33.115784,
5252423,Kepler-237 c,CONFIRMED,8.10363271,0.047,3.161,887.9,0.026361,2.11,33.637074,39.3,131,0.0,0,2.33533,0.0712,7.0046763,
5252423,Kepler-237 b,CONFIRMED,4.71510843,0.258,2.506,417.5,0.018268,1.46,16.489346,21.3,208,0.02,0,2.42359,0.0496,3.765065,
5272878,Kepler-694 b,CONFIRMED,6.365839713,0.524,2.9721,780.7,0.026275,2.44,58.17086,70.8,216,0.871,0,1.41102,0.0659,7.331596,
5283542,,FALSE POSITIVE,5.97581754,0.941,3.065,962.4,0.035468,3.86,42.549767,50.3,181,0.0,0,0.14724,0.066,7.281016,
5649215,,FALSE POSITIVE,2.446737317,1.241,4.7211,1177.9,0.278526,26.25,98.78201,110.2,552,0.0,0,0.01691,0.0351,25.09719,
5792202,Kepler-27 b,CONFIRMED,15.33528675,0.773,3.897,3081.4,0.056,5,84.09906,86.6,85,0.0,0,0.81659,0.1179,13.146613,
5792202,Kepler-27 c,CONFIRMED,31.33046135,0.798,5.176,5073.8,0.072904,6.5,110.02644,117.2,46,0.0,0,0.70448,0.1898,23.140947,
5792202,Kepler-27 d,CONFIRMED,6.54626149,0.644,2.75,655.9,0.024555,2.19,24.029488,24.8,200,0.09,0,1.35056,0.0668,4.6233773,
5792202,,CANDIDATE,269.306232,1.219,14.931,1708,0.269007,24,12.659717,18.1,5,0.069,0,0.02997,0.7965,7.738088,
5792202,,CANDIDATE,499.47338,0.793,12.248,1662,0.041532,3.71,9.648741,15.7,3,0.065,0,0.70458,1.2023,6.4856887,
5370302,,FALSE POSITIVE,3.9043425,0.709,3.831,16228.4,0.125229,12.28,1224.3164,323.4,275,0.0,0,0.39988,0.0484,110.279724,
5376067,,FALSE POSITIVE,3.951405455,1.276,2.1862,2453.9,0.331342,31.44,110.66481,117.2,272,0.706,0,0.19337,0.0482,13.511557,
5436502,Kepler-238 e,CONFIRMED,23.65369415,0.008,8.2183,3341.8,0.05219,7.89,188.42673,266.3,57,0.032,0,0.41907,0.1658,33.295635,
5436502,Kepler-238 d,CONFIRMED,13.23352214,0.014,6.7372,504.6,0.020278,3.06,34.323593,49.1,97,0.055,0,0.3884,0.1126,6.205785,
5436502,Kepler-238 c,CONFIRMED,6.15560285,0.235,4.9843,285,0.015336,2.32,26.274458,35.1,203,0.0,0,0.40662,0.0676,4.266375,
5436502,Kepler-238 b,CONFIRMED,2.090811305,0.746,3.388,115.9,0.010686,1.62,14.88052,19.9,527,0.007,0,0.1588,0.0329,3.535499,
5436502,Kepler-238 f,CONFIRMED,50.4467417,0.379,7.159,370.3,0.01767,2.67,15.157462,19.4,22,0.394,0,0.97794,0.2747,5.1075315,
5481416,,FALSE POSITIVE,2.384052875,1.178,3.0918,1268.1,0.222925,17.06,44.634888,50.5,549,0.0,0,0.03902,0.0308,7.4411964,
5531576,Kepler-240 c,CONFIRMED,7.953547,0.3,2.6312,875.4,0.026448,2.25,31.887648,38.4,166,0.334,0,3.48717,0.0712,5.371588,
5531576,Kepler-240 b,CONFIRMED,4.14451656,0.004,2.3421,391.8,0.017441,1.48,18.548983,22.8,316,0.997,0,2.87358,0.0461,4.527273,
5534814,,FALSE POSITIVE,4.859386384,1.259,2.2757,6044.3,0.355227,38.33,300.96277,269.7,273,0.0,0,0.4563,0.0571,30.702702,
6291653,Kepler-702 b,CONFIRMED,10.526294577,0.644,2.5211,9768,0.095143,8.24,488.70584,482.3,129,0.0,0,3.85261,0.088,58.01924,
6392727,Kepler-703 b,CONFIRMED,4.583520948,0.045,2.7055,3812.1,0.056287,5.39,212.06973,99.5,297,0.012,0,2.30111,0.0535,18.698158,
6428700,Kepler-242 b,CONFIRMED,8.20396958,0.823,2.9667,1024.4,0.033372,3.01,44.777393,54.4,162,0.009,0,0.65082,0.0735,7.181467,
6428700,Kepler-242 c,CONFIRMED,14.49645186,0.97,4.016,647.5,0.033377,3.01,20.855698,25.7,89,0.036,0,0.0859,0.1074,5.1306577,
5794379,Kepler-241 b,CONFIRMED,12.71809866,0.427,3.0957,1149.4,0.030871,2.31,42.002544,52.7,107,0.832,0,2.98907,0.0934,7.304412,
5794379,Kepler-241 c,CONFIRMED,36.06588163,0.26,4.3246,1563.8,0.035281,2.64,39.547905,51.7,38,0.622,0,3.78452,0.1871,10.347036,
6022556,Kepler-697 b,CONFIRMED,3.709870784,0.023,3.0694,2020.3,0.040686,4.35,88.43494,116.1,279,0.416,0,1.22579,0.0471,9.246548,
6032497,Kepler-698 b,CONFIRMED,16.3297527,0.791,6.271,1187.5,0.034822,3.75,63.15734,74.6,85,0.0,0,0.16717,0.1255,10.867014,
6061119,Kepler-699 b,CONFIRMED,27.807566216,0.782,4.21587,25391.1,0.161479,13.84,739.8864,748.1,50,0.0,0,1.98053,0.1711,184.1626,
6191521,Kepler-700 b,CONFIRMED,80.8723469,0.527,11.195,3604.6,0.056129,7.59,129.28693,160.9,17,0.403,0,0.37264,0.3577,39.125496,
3531558,Kepler-467 b,CONFIRMED,24.99324319,0.686,5.9409,269.6,0.015956,2.29,48.44607,62.0,53,0.001,0,0.42385,0.1651,10.750713,
6276477,Kepler-701 b,CONFIRMED,10.35533116,0.029,3.1775,750.6,0.024674,2.47,43.478497,49.2,127,0.007,0,2.92779,0.0895,6.973618,
6863998,Kepler-709 b,CONFIRMED,16.08518937,0.867,3.984,1442.4,0.040767,3.68,56.866776,62.6,82,0.348,0,0.41177,0.1173,11.495781,
6867155,,CANDIDATE,235.9986399,0.778,8.2284,20714.6,0.14756,10.59,311.33582,271.8,6,0.0,0,2.14449,0.6534,157.44649,
6435936,Kepler-705 b,CONFIRMED,56.0560754,0.018,4.685,1626,0.036134,1.94,19.2542,27.4,24,0.048,0,5.11354,0.228,6.1299686,
6522242,Kepler-706 b,CONFIRMED,41.408316686,0.377,5.0264,22838.9,0.139516,11.38,904.6437,907.8,33,0.0,0,3.42177,0.2162,217.32286,
6526710,,CANDIDATE,39.74893077,0.881,7.3051,15178.9,0.134949,14.21,505.17914,561.1,34,0.0,0,0.31474,0.2311,123.3638,
6587280,Kepler-243 b,CONFIRMED,5.715425977,0.348,2.5242,908.1,0.027348,2.47,48.613644,59.4,181,0.309,0,2.71439,0.0611,7.166417,
6587280,Kepler-243 c,CONFIRMED,20.0261412,0.957,1.611,421.2,0.025305,2.28,9.322174,10.7,54,0.175,0,2.00738,0.1409,3.5729597,
9471974,Kepler-108 b,CONFIRMED,49.18394185,0.035,11.3364,1646.2,0.036501,8.2,250.00006,355.7,29,0.0,0,0.31666,0.2829,61.598824,
9471974,Kepler-108 c,CONFIRMED,190.3200468,0.812,15.284,1141.7,0.034654,7.78,95.55217,139.3,7,0.0,0,0.11866,0.6972,45.91216,
6599919,,CANDIDATE,13.61014819,1.081,2.594,5732.9,0.192842,19.02,209.14677,184.1,101,0.015,0,0.84633,0.1061,36.547604,
6675056,,FALSE POSITIVE,10.44331991,0.23,2.743,1159.8,0.030416,2.66,48.83681,51.7,127,0.0,0,4.32663,0.0857,10.513627,
6685526,Kepler-707 b,CONFIRMED,2.237489571,0.128,1.8119,315.8,0.015942,1.41,28.265633,30.7,595,0.022,0,3.26761,0.0325,4.7961717,
6756669,,FALSE POSITIVE,5.851520671,0.211,3.11058,33003.6,0.166109,14.62,1762.9304,1630.4,178,0.002,0,2.48066,0.0591,192.99095,
6784235,Kepler-708 b,CONFIRMED,3.167893418,0.026,2.1814,781.2,0.025513,2.62,55.665585,64.8,430,0.683,0,2.78453,0.0426,5.8711963,
6849310,Kepler-244 b,CONFIRMED,4.311780262,0.196,2.7251,1154,0.030716,3.11,68.72953,86.1,299,0.0,0,1.86883,0.0511,7.6148076,
6849310,Kepler-244 d,CONFIRMED,20.0504494,0.383,4.556,840.9,0.026569,2.69,29.427977,37.8,64,0.0,0,1.54536,0.1423,6.4205737,
6849310,Kepler-244 c,CONFIRMED,9.76734503,0.9,1.6585,569.1,0.026407,2.67,17.335663,21.1,122,0.073,0,2.17446,0.0881,3.9681692,
6862328,,CANDIDATE,119.0207044,0.076,8.1405,7430.5,0.077431,8.98,165.9875,223.5,11,0.0,0,2.31024,0.4582,63.25567,
6862603,,FALSE POSITIVE,2.861159894,0.965,1.8832,1014.3,0.039171,4.37,47.643787,58.3,454,0.0,0,0.22208,0.0406,8.208323,
7366258,Kepler-82 b,CONFIRMED,26.44439337,0.03,3.9783,1843.5,0.038511,3.91,67.97784,88.0,53,0.001,0,3.96328,0.1687,15.926126,
7366258,Kepler-82 c,CONFIRMED,51.53997972,0.183,6.3994,3644.3,0.05435,5.51,112.0813,155.5,28,0.0,0,1.85679,0.2632,28.79182,
7366258,Kepler-82 e,CONFIRMED,5.902245782,0.209,2.9003,702.3,0.023909,2.43,43.151917,59.3,220,0.0,0,2.05923,0.0621,6.7249837,
7366258,Kepler-82 d,CONFIRMED,2.382951591,0.479,1.8876,391.6,0.018369,1.86,23.52045,41.4,515,0.002,0,2.19197,0.0339,3.843993,
7373451,Kepler-712 b,CONFIRMED,21.02250608,0.036,4.1072,1772.5,0.037466,3.07,47.644684,62.4,67,0.013,0,2.85327,0.1378,9.148423,
7373451,Kepler-712 c,CONFIRMED,226.8904775,0.731,7.558,3136.4,0.055361,4.53,32.135025,46.8,7,0.631,0,1.95932,0.6732,18.208637,
7031517,,CANDIDATE,12.940668656,0.897,2.4845,42450,0.259639,22.94,1375.2338,307.5,100,0.0,0,4.93266,0.1039,209.9436,
