,編號,欄位名稱,Python 型別,Table Label,估計數值範圍／描述,意義 / 為什麼可能有用,潛在問題 / 注意,優先程度建議
55,56,koi_fwm_prao,`Optional[float]`,FW Source Δα(OOT),信號源與目標恆星於 RA 方向的偏移量,判斷信號是否來自目標恆星,大偏移可能表示信號來自背景物體,中
56,57,koi_fwm_pdeco,`Optional[float]`,FW Source Δδ(OOT),信號源與目標恆星於 Dec 方向的偏移量,判斷信號是否來自目標恆星,大偏移可能表示信號來自背景物體,中
58,59,koi_dicco_mra,`Optional[float]`,PRF Δα_{SQ}(OOT),差分圖像法得出的平均 ΔRA,描述信號源與目標恆星在 RA 方向的偏移,偏移過大可能是假信號,中
59,60,koi_dicco_mdec,`Optional[float]`,PRF Δδ_{SQ}(OOT),差分圖像法得出的平均 ΔDec,描述信號源與目標恆星在 Dec 方向的偏移,偏移過大可能是假信號,中
60,61,koi_dicco_msky,`Optional[float]`,PRF Δθ_{SQ}(OOT),差分圖像法的天空偏移距離,描述信號源與目標恆星的總偏移距離,可與 ΔRA / ΔDec 結合判定信號來源,中
61,62,koi_dikco_mra,`Optional[float]`,PRF Δα_{SQ}(KIC),差分圖像信號源與 KIC 目標在 RA 方向的 ΔRA,作為偏移參考,若偏離過大可能是假信號,中
62,63,koi_dikco_mdec,`Optional[float]`,PRF Δδ_{SQ}(KIC),差分圖像信號源與 KIC 目標在 Dec 方向的 ΔDec,作為偏移參考,若偏差過大可能是假信號,中
63,64,koi_dikco_msky,`Optional[float]`,PRF Δθ_{SQ}(KIC),差分圖像信號源與 KIC 目標在天空的偏移距離,描述偏移總角距離,若偏移過大可能是假信號,中
0,1,kepid,`int`,Kepler Identification or KepID,整數的 KIC 編號,唯一恆星識別碼,編號本身不攜帶分類訊息,低
2,3,kepler_name,`Optional[str]`,Kepler Name,若 KOI 被確認則有其行星名，否則為 None,標示是否為已確認行星,多數 KOI 尚未確認，欄位可能為空,低
5,6,koi_vet_date,`Optional[str]` / `Optional[datetime]`,Date of Last Parameter Update,最近一次參數更新時間,紀錄更新時間點,難以直接變成有意義特徵,低
8,9,koi_fpflag_nt,`Optional[bool]`,Not Transit-Like Flag,True / False 表示是否非典型凌日形狀,判別偽陽性類型,標記性質強，可能造成資料洩漏,低
9,10,koi_fpflag_ss,`Optional[bool]`,Stellar Eclipse Flag,True / False 表示是否為恆星食現象,偵測與雙星、恆星變星混淆,標記揭示偽陽性可能性,低
10,11,koi_fpflag_co,`Optional[bool]`,Centroid Offset Flag,True / False 表示光心偏移可能性,若偏移，信號可能來自背景星,若用會洩漏資訊,低
12,13,koi_disp_prov,`Optional[str]`,Disposition Provenance,判定來源 / 依據,說明決策用哪種方法或資料,metadata，不做特徵,低
13,14,koi_comment,`Optional[str]`,KOI Comment,補充註記 / 備註,記錄判定理由、標記關鍵字等,文本難以量化為特徵,低
32,33,koi_limbdark_mod,`Optional[str]`,Limb Darkening Model Name,limb darkening 模型名稱,描述擬合用的星體模型,多為模型設定，非分類特徵,低
33,34,koi_ldm_coeff1,`Optional[float]`,Limb Darkening Coefficient 1,第一個邊緣暗化係數,用於光曲線模型計算,多為固定值，不具變異性,低
34,35,koi_ldm_coeff2,`Optional[float]`,Limb Darkening Coefficient 2,第二個邊緣暗化係數,描述暗化效應,多為定值，變異小,低
35,36,koi_ldm_coeff3,`Optional[float]`,Limb Darkening Coefficient 3,第三個暗化係數,用於較複雜模型,若模型不使用則可能為 None,低
36,37,koi_ldm_coeff4,`Optional[float]`,Limb Darkening Coefficient 4,第四個暗化係數,用於高階暗化模型,若模型不使用可能為 None,低
37,38,koi_parm_prov,`Optional[str]`,KOI Parameter Provenance,參數來源 / provenance,說明數值來源方法,metadata，不作特徵,低
43,44,koi_tce_plnt_num,`Optional[int]`,TCE Planet Number,TCE 的行星編號,用於對應 KOI 與 TCE 關係,metadata 識別用途,低
44,45,koi_tce_delivname,`Optional[str]`,TCE Delivery Name,TCE 發佈名稱,說明該 KOI 所屬的 TCE 發佈版本,metadata 類別,低
46,47,koi_trans_mod,`Optional[str]`,Transit Model Name,擬合所用凌日模型名稱,描述模型類型,模型名稱可能與資料品質關聯,低
49,50,koi_datalink_dvr,`Optional[str]`,Link to DV Report,Data Validation 報告的相對連結,用以下載該 KOI 的驗證報告,無分類意義,低
50,51,koi_datalink_dvs,`Optional[str]`,Link to DV Summary,Data Validation 摘要報告相對連結,提供該 KOI 的驗證摘要,無分類意義,低
1,2,kepoi_name,`str`,KOI Name,KOI 名稱（例如 “K00001.01”）,用來識別候選體,名稱為標識用途，不適合作為特徵,不可作特徵
3,4,koi_disposition,`str`,Exoplanet Archive Disposition,“CANDIDATE” / “FALSE POSITIVE” / “CONFIRMED” / “NOT DISPOSITIONED”,目標分類標籤,不能作為模型輸入特徵以免洩漏,不可作特徵
4,5,koi_vet_stat,`Optional[str]`,Vetting Status,“ACTIVE” / “DONE” / None,表示該 KOI 是否正在審核或已完成審核,審核狀態可能揭示 label 信息,通常捨棄
6,7,koi_pdisposition,`Optional[str]`,Disposition Using Kepler Data,pipeline 的初步判定,表示最初流程分類結果,與最終 disposition 關聯太強,通常捨棄
11,12,koi_fpflag_ec,`Optional[bool]`,Ephemeris Match Indicates Contamination Flag,True / False 標記週期重合污染可能性,標記可能泄露偽陽性性質,低,
